City,Consumption_MWh,Consumption_Ratio,Hourly_Consumption
İstanbul,53703000,0.16129884874497283,960.1121949105526
İzmir,21314000,0.06401734841908926,381.0556453517218
Ankara,19063000,0.05725639077193857,340.8118498329677
Bursa,16612000,0.049894726092611,296.99241721792265
Kocaeli,14768000,0.04435620725594024,264.0250431901205
Gaziantep,11434000,0.03434242102955178,204.4191727949511
Antalya,11256000,0.033807791770914364,201.23685577925218
Adana,10218000,0.0306901222739164,182.67929924950238
Konya,10089000,0.03030266623816232,180.37301332239474
Tekirdağ,9726000,0.029212382974761295,173.88323199262675
Şanlıurfa,8287000,0.0248902958782487,148.1565230848137
Hatay,7069000,0.02123199005229155,126.38089316840208
Mersin,6875000,0.020649304231079982,122.9125251849999
Manisa,6162000,0.01850778366136943,110.1653789367228
Osmaniye,5799000,0.017417500397968407,103.67559760695481
Sakarya,5444000,0.016351245415854462,97.32884176103846
Kahramanmaraş,5435000,0.0163242135994065,97.16793809170537
Kayseri,5428000,0.01630318885328031,97.04279079333519
Balıkesir,4960000,0.01489753439798643,88.67579998801446
Denizli,4929000,0.014804424807999015,88.12157623808938
Muğla,4772000,0.01433286978774017,85.31470111750102
Samsun,4590000,0.013786226388459217,82.06087135987629
Eskişehir,4367000,0.013116438047582004,78.07403599751193
Diyarbakır,4087000,0.012275448202534383,73.06814406270466
Çanakkale,3967000,0.01191502398322826,70.9227618049301
Aydın,3925000,0.011788875506471116,70.17187801470902
Kırklareli,3442000,0.01033816802376397,61.53671442716649
Mardin,3105000,0.009325976674545941,55.51176591991632
Bilecik,3057000,0.009181806986823492,54.6536130168065
Afyonkarahisar,2701000,0.00811254846954866,48.28897898540869
Uşak,2657000,0.007980392922469748,47.50233882422469
Kütahya,2451000,0.0073616646793275686,43.81943261504505
Malatya,2359000,0.007085339444526207,42.17463955075124
Sivas,2008000,0.006031098603055797,35.8993964467607
Trabzon,2005000,0.006022087997573144,35.845761890316325
Ordu,1805000,0.0054213809653962716,32.27012479402543
Elazığ,1769000,0.005313253699604435,31.626510116693062
Niğde,1760000,0.005286221883156475,31.46560644735997
Adıyaman,1697000,0.00509699916802076,30.339280762028334
Zonguldak,1614000,0.0048477057496673585,28.85539136706761
Aksaray,1606000,0.0048236774683802835,28.712365883215973
Bolu,1538000,0.004619437077440147,27.496649270477064
Kastamonu,1489000,0.004472263854556813,26.620618181885796
Düzce,1465000,0.004400179010695589,26.191541730330886
Van,1430000,0.004295055280064636,25.565805238479978
Edirne,1381000,0.0041478820571813025,24.689774149888702
Isparta,1367000,0.004105832564928922,24.439479553148345
Karaman,1291000,0.00387756389270171,23.080737456557795
Burdur,1254000,0.0037664330917489886,22.41924459374398
Batman,1249000,0.0037514154159445667,22.329853666336707
Erzurum,1210000,0.003634277544670077,21.63260443255998
Çorum,1179000,0.0035411679546826615,21.07838068263489
Tokat,1175000,0.003529153814039124,21.00686794070907
Bartın,1151000,0.0034570689701778996,20.577791489154166
Yalova,1069000,0.003210779086985382,19.111780279674893
Nevşehir,1055000,0.0031687295947330006,18.86148568293453
Yozgat,1028000,0.003087634145389123,18.378774674935258
Rize,1015000,0.0030485881882976263,18.146358263676348
Giresun,957000,0.0028743831489663335,17.109423505751984
Karabük,893000,0.0026821568986697343,15.965219634938896
Erzincan,842000,0.002528976605464632,15.053432175384714
Şırnak,835000,0.002507951859338441,14.92828487701453
Amasya,831000,0.002495937718694904,14.856772135088715
Kırıkkale,813000,0.0024418740857989852,14.53496479642253
Çankırı,807000,0.0024238528748336792,14.427695683533805
Kilis,776000,0.002330743284846264,13.873471933608714
Ağrı,637000,0.0019132518974833378,11.388404151686535
Siirt,626000,0.0018802130107136098,11.191744111390536
Kırşehir,576000,0.0017300362526693918,10.297834837317808
Artvin,574000,0.001724029182347623,10.2620784663549
Muş,554000,0.001663958479129936,9.90451475672581
Gümüşhane,530000,0.0015918736352687113,9.4754383051709
Bitlis,519000,0.0015588347484989833,9.278778264874902
Sinop,511000,0.0015348064672119084,9.135752781023264
Kars,424000,0.001273498908214969,7.580350644136721
Bingöl,421000,0.001264488302732316,7.526716087692357
Hakkari,375000,0.0011263256853316353,6.704319555545448
Iğdır,286000,0.0008590110560129272,5.1131610476959946
Tunceli,176000,0.0005286221883156475,3.1465606447359975
Ardahan,173000,0.0005196115828329944,3.092926088291634
Bayburt,144000,0.00043250906316734795,2.574458709329452
